2022-10-20 08:50:14.874 [main.py] INFO    | 進入VG主頁
2022-10-20 08:50:17.039 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 08:50:17.171 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 08:57:37.262 [main.py] INFO    | 進入VG主頁
2022-10-20 08:57:40.189 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 08:57:48.245 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 08:58:10.340 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 09:06:48.942 [main.py] INFO    | 進入VG主頁
2022-10-20 09:06:52.269 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 09:07:01.280 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 09:07:11.547 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 09:07:11.551 [main.py] INFO    | 關閉成功
2022-10-20 09:07:11.618 [main.py] INFO    | 進入VG主頁
2022-10-20 09:07:12.201 [main.py] INFO    | 進入VG主頁
2022-10-20 09:07:18.857 [main.py] INFO    | 進入VG主頁
2022-10-20 09:07:33.126 [main.py] INFO    | 進入VG主頁
2022-10-20 09:07:34.690 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 09:07:43.383 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 09:07:56.943 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 09:10:31.200 [main.py] INFO    | 進入VG主頁
2022-10-20 09:24:12.772 [main.py] INFO    | 進入VG主頁
2022-10-20 09:24:15.735 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 09:24:24.727 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 09:24:38.663 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 09:25:03.812 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 09:25:03.813 [main.py] INFO    | 關閉成功
2022-10-20 09:25:03.867 [main.py] INFO    | 進入VG主頁
2022-10-20 09:25:04.722 [main.py] INFO    | 進入VG主頁
2022-10-20 09:25:07.984 [main.py] INFO    | 進入VG主頁
2022-10-20 09:25:09.626 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 09:25:20.835 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 09:25:33.896 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 09:26:35.498 [main.py] INFO    | 進入VG主頁
2022-10-20 09:26:37.616 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 09:26:46.295 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 09:26:59.364 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
